Rule description,Rule classification,Rule Severity,Language,,,,,,,,,,,,,,,,,
"Creating cookies without the ""secure"" flag is security-sensitive",Security,严重,java,,,,,,,,,,,,,,,,,
"""equals(Object obj)"" should test argument type",OOP,阻断,java,,,,,,,,,,,,,,,,,
"Equality operators should not be used in ""for"" loop termination conditions",Control Statement,严重,java,,,,,,,,,,,,,,,,,
"The non-serializable super class of a ""Serializable"" class should have a no-argument constructor",Serialization,严重,java,,,,,,,,,,,,,,,,,
"Inappropriate ""Collection"" calls should not be made",Collection Processing,严重,java,,,,,,,,,,,,,,,,,
Short-circuit logic should be used in boolean contexts,Control Statement,严重,java,,,,,,,,,,,,,,,,,
"""compareTo"" should not return ""Integer.MIN_VALUE""",OOP,严重,java,,,,,,,,,,,,,,,,,
Executing SQL queries is security-sensitive,Security,严重,java,,,,,,,,,,,,,,,,,
Ints and longs should not be shifted by zero or more than their number of bits-1,Code Style,严重,java,,,,,,,,,,,,,,,,,
Custom serialization method signatures should meet requirements,Serialization,严重,java,,,,,,,,,,,,,,,,,
"""Serializable"" inner classes of non-serializable classes should be ""static""",Serialization,严重,java,,,,,,,,,,,,,,,,,
"""Object.wait(...)"" should never be called on objects that implement ""java.util.concurrent.locks.Condition""",Concurrency,阻断,java,,,,,,,,,,,,,,,,,
"""Iterator.hasNext()"" should not call ""Iterator.next()""",Collection Processing,阻断,java,,,,,,,,,,,,,,,,,
"Switch cases should end with an unconditional ""break"" statement",Control Statement,严重,java,,,,,,,,,,,,,,,,,
Synchronization should not be based on Strings or boxed primitives,Serialization,阻断,java,,,,,,,,,,,,,,,,,
"""equals"" method overrides should accept ""Object"" parameters",OOP,严重,java,,,,,,,,,,,,,,,,,
"""public static"" fields should be constant",OOP,严重,java,,,,,,,,,,,,,,,,,
Non-thread-safe fields should not be static,OOP,严重,java,,,,,,,,,,,,,,,,,
The Object.finalize() method should not be overriden,OOP,严重,java,,,,,,,,,,,,,,,,,
"""Threads"" should not be used where ""Runnables"" are expected",Concurrency,严重,java,,,,,,,,,,,,,,,,,
The value returned from a stream read should be checked,Code Style,严重,java,,,,,,,,,,,,,,,,,
"""read"" and ""readLine"" return values should be used",Code Style,阻断,java,,,,,,,,,,,,,,,,,
"Neither ""Math.abs"" nor negation should be used on numbers that could be ""MIN_VALUE""",OOP,严重,java,,,,,,,,,,,,,,,,,
Execution of the Garbage Collector should be triggered only by the JVM,Performance优化,严重,java,,,,,,,,,,,,,,,,,
"""Thread.run()"" should not be called directly",Concurrency,严重,java,,,,,,,,,,,,,,,,,
"""File.createTempFile"" should not be used to create a directory",Code Style,严重,java,,,,,,,,,,,,,,,,,
Identical expressions should not be used on both sides of a binary operator,Code Style,严重,java,,,,,,,,,,,,,,,,,
Classes should not be compared by name,OOP,严重,java,,,,,,,,,,,,,,,,,
"A ""for"" loop update clause should move the counter in the right direction",Control Statement,阻断,java,,,,,,,,,,,,,,,,,
Collection methods with O(n) performance should be used carefully,Collection Processing,严重,java,,,,,,,,,,,,,,,,,
Loop conditions should be true at least once,Control Statement,严重,java,,,,,,,,,,,,,,,,,
”HttpServletRequest.getRequestedSessionId()“ should not be used,Security,严重,java,,,,,,,,,,,,,,,,,
Values should not be uselessly incremented,Performance优化,严重,java,,,,,,,,,,,,,,,,,
"""ScheduledThreadPoolExecutor"" should not have 0 core threads",Concurrency,阻断,java,,,,,,,,,,,,,,,,,
"""Double.longBitsToDouble"" should not be used for ""int""",OOP,阻断,java,,,,,,,,,,,,,,,,,
"""wait"", ""notify"" and ""notifyAll"" should only be called when a lock is obviously held on an object",Concurrency,严重,java,,,,,,,,,,,,,,,,,
"""runFinalizersOnExit"" should not be called",Security,阻断,java,,,,,,,,,,,,,,,,,
Printf-style format strings should not lead to unexpected behavior at runtime,Code Style,严重,java,,,,,,,,,,,,,,,,,
Dissimilar primitive wrappers should not be used with the ternary operator without explicit casting,Code Style,严重,java,,,,,,,,,,,,,,,,,
"""Object.wait(...)"" and ""Condition.await(...)"" should be called inside a ""while"" loop",Control Statement,严重,java,,,,,,,,,,,,,,,,,
Cryptographic RSA algorithms should always incorporate OAEP (Optimal Asymmetric Encryption Padding),Security,严重,java,,,,,,,,,,,,,,,,,
"""wait(...)"" should be used instead of ""Thread.sleep(...)"" when a lock is held",Concurrency,严重,java,,,,,,,,,,,,,,,,,
"Mutable fields should not be ""public static""",OOP,严重,java,,,,,,,,,,,,,,,,,
"Instance methods should not write to ""static"" fields",OOP,严重,java,,,,,,,,,,,,,,,,,
"Null should not be returned from a ""Boolean"" method",OOP,严重,java,,,,,,,,,,,,,,,,,
Multiline blocks should be enclosed in curly braces,Code Style,严重,java,,,,,,,,,,,,,,,,,
"Non-serializable objects should not be stored in ""HttpSession"" objects",Serialization,严重,java,,,,,,,,,,,,,,,,,
""".equals()"" should not be used to test the values of ""Atomic"" classes",OOP,阻断,java,,,,,,,,,,,,,,,,,
Non-serializable classes should not be written,Serialization,严重,java,,,,,,,,,,,,,,,,,
"Invalid ""Date"" values should not be used",OOP,严重,java,,,,,,,,,,,,,,,,,
"Non-public methods should not be ""@Transactional""",Security,严重,java,,,,,,,,,,,,,,,,,
"Jump statements should not occur in ""finally"" blocks",Control Statement,阻断,java,,,,,,,,,,,,,,,,,
"""URL.hashCode"" and ""URL.equals"" should be avoided",OOP ,严重,java,,,,,,,,,,,,,,,,,
"""ResultSet.isLast()"" should not be used",OOP ,严重,java,,,,,,,,,,,,,,,,,
"""BigDecimal(double)"" should not be used",OOP ,严重,java,,,,,,,,,,,,,,,,,
Collections should not be passed as arguments to their own methods,Collection Processing,严重,java,,,,,,,,,,,,,,,,,
IllegalMonitorStateException should not be caught,Concurrency,严重,java,,,,,,,,,,,,,,,,,
Exit methods should not be called,Security,严重,java,,,,,,,,,,,,,,,,,
"""hashCode"" and ""toString"" should not be called on array instances",OOP,严重,java,,,,,,,,,,,,,,,,,
"Methods ""wait(...)"", ""notify()"" and ""notifyAll()"" should not be called on Thread instances",Concurrency,阻断,java,,,,,,,,,,,,,,,,,
Reflection should not be used to check non-runtime annotations,OOP,阻断,java,,,,,,,,,,,,,,,,,
Locks should be released,Concurrency,严重,java,,,,,,,,,,,,,,,,,
Servlets should not have mutable instance fields,Concurrency,严重,java,,,,,,,,,,,,,,,,,
"""toString()"" and ""clone()"" methods should not return null",OOP ,严重,java,,,,,,,,,,,,,,,,,
